# Transient Gas Mass fractions
t(s)            CH3CH2Br        TBAF            CH3CH2F         TBABr           C2H4            HF              
1.00000000e-08  2.94153894e-01  7.05837080e-01  7.73969408e-07  7.85488925e-06  2.31770717e-07  1.65284751e-07  
1.45000000e-08  2.94152700e-01  7.05834213e-01  1.12225109e-06  1.13895432e-05  3.36066176e-07  2.39661917e-07  
1.90000000e-08  2.94151505e-01  7.05831346e-01  1.47052995e-06  1.49241685e-05  4.40360789e-07  3.14038479e-07  
2.35000000e-08  2.94150310e-01  7.05828479e-01  1.81880597e-06  1.84587651e-05  5.44654555e-07  3.88414437e-07  
2.80000000e-08  2.94149116e-01  7.05825612e-01  2.16707917e-06  2.19933329e-05  6.48947474e-07  4.62789791e-07  
3.25000000e-08  2.94147921e-01  7.05822746e-01  2.51534954e-06  2.55278721e-05  7.53239545e-07  5.37164541e-07  
3.70000000e-08  2.94146726e-01  7.05819879e-01  2.86361708e-06  2.90623825e-05  8.57530770e-07  6.11538687e-07  
4.15000000e-08  2.94145531e-01  7.05817012e-01  3.21188179e-06  3.25968643e-05  9.61821148e-07  6.85912228e-07  
4.60000000e-08  2.94144337e-01  7.05814145e-01  3.56014367e-06  3.61313173e-05  1.06611068e-06  7.60285166e-07  
5.05000000e-08  2.94143142e-01  7.05811279e-01  3.90840273e-06  3.96657416e-05  1.17039936e-06  8.34657500e-07  
5.50000000e-08  2.94141947e-01  7.05808412e-01  4.25665895e-06  4.32001373e-05  1.27468720e-06  9.09029229e-07  
5.95000000e-08  2.94140753e-01  7.05805545e-01  4.60491235e-06  4.67345042e-05  1.37897419e-06  9.83400354e-07  
6.40000000e-08  2.94139558e-01  7.05802679e-01  4.95316292e-06  5.02688424e-05  1.48326033e-06  1.05777088e-06  
6.85000000e-08  2.94138363e-01  7.05799812e-01  5.30141066e-06  5.38031519e-05  1.58754562e-06  1.13214079e-06  
7.30000000e-08  2.94137169e-01  7.05796946e-01  5.64965557e-06  5.73374327e-05  1.69183007e-06  1.20651011e-06  
7.75000000e-08  2.94135974e-01  7.05794079e-01  5.99789765e-06  6.08716847e-05  1.79611367e-06  1.28087882e-06  
8.20000000e-08  2.94134780e-01  7.05791213e-01  6.34613691e-06  6.44059081e-05  1.90039643e-06  1.35524692e-06  
8.65000000e-08  2.94133585e-01  7.05788346e-01  6.69437333e-06  6.79401028e-05  2.00467834e-06  1.42961442e-06  
9.10000000e-08  2.94132390e-01  7.05785480e-01  7.04260693e-06  7.14742688e-05  2.10895940e-06  1.50398132e-06  
9.55000000e-08  2.94131196e-01  7.05782613e-01  7.39083770e-06  7.50084060e-05  2.21323961e-06  1.57834761e-06  
1.00000000e-07  2.94130001e-01  7.05779747e-01  7.73906564e-06  7.85425146e-05  2.31751898e-06  1.65271330e-06  
1.45000000e-07  2.94118056e-01  7.05751084e-01  1.12211895e-05  1.13882021e-04  3.36026606e-06  2.39633697e-06  
1.90000000e-07  2.94106112e-01  7.05722423e-01  1.47030306e-05  1.49218659e-04  4.40292847e-06  3.13990026e-06  
2.35000000e-07  2.94094169e-01  7.05693765e-01  1.81845889e-05  1.84552426e-04  5.44550619e-06  3.88340316e-06  
2.80000000e-07  2.94082227e-01  7.05665109e-01  2.16658644e-05  2.19883323e-04  6.48799923e-06  4.62684567e-06  
3.25000000e-07  2.94070285e-01  7.05636456e-01  2.51468573e-05  2.55211352e-04  7.53040764e-06  5.37022782e-06  
3.70000000e-07  2.94058345e-01  7.05607804e-01  2.86275675e-05  2.90536512e-04  8.57273139e-06  6.11354960e-06  
4.15000000e-07  2.94046406e-01  7.05579156e-01  3.21079950e-05  3.25858803e-04  9.61497048e-06  6.85681100e-06  
4.60000000e-07  2.94034468e-01  7.05550509e-01  3.55881400e-05  3.61178227e-04  1.06571250e-05  7.60001208e-06  
5.05000000e-07  2.94022530e-01  7.05521865e-01  3.90680024e-05  3.96494782e-04  1.16991948e-05  8.34315280e-06  
5.50000000e-07  2.94010594e-01  7.05493223e-01  4.25475821e-05  4.31808469e-04  1.27411801e-05  9.08623317e-06  
5.95000000e-07  2.93998658e-01  7.05464583e-01  4.60268795e-05  4.67119291e-04  1.37830807e-05  9.82925323e-06  
6.40000000e-07  2.93986724e-01  7.05435946e-01  4.95058944e-05  5.02427245e-04  1.48248968e-05  1.05722130e-05  
6.85000000e-07  2.93974791e-01  7.05407311e-01  5.29846268e-05  5.37732333e-04  1.58666283e-05  1.13151124e-05  
7.30000000e-07  2.93962858e-01  7.05378678e-01  5.64630768e-05  5.73034554e-04  1.69082752e-05  1.20579515e-05  
7.75000000e-07  2.93950926e-01  7.05350048e-01  5.99412444e-05  6.08333910e-04  1.79498376e-05  1.28007303e-05  
8.20000000e-07  2.93938996e-01  7.05321420e-01  6.34191296e-05  6.43630400e-04  1.89913154e-05  1.35434488e-05  
8.65000000e-07  2.93927066e-01  7.05292794e-01  6.68967326e-05  6.78924025e-04  2.00327086e-05  1.42861070e-05  
9.10000000e-07  2.93915138e-01  7.05264171e-01  7.03740533e-05  7.14214785e-04  2.10740174e-05  1.50287049e-05  
9.55000000e-07  2.93903210e-01  7.05235550e-01  7.38510917e-05  7.49502681e-04  2.21152416e-05  1.57712426e-05  
1.00000000e-06  2.93891283e-01  7.05206931e-01  7.73278479e-05  7.84787713e-04  2.31563813e-05  1.65137200e-05  
1.45000000e-06  2.93772070e-01  7.04920872e-01  1.12079896e-04  1.13748058e-03  3.35631326e-05  2.39351808e-05  
1.90000000e-06  2.93652953e-01  7.04635044e-01  1.46803762e-04  1.48988743e-03  4.39614445e-05  3.13506232e-05  
2.35000000e-06  2.93533932e-01  7.04349449e-01  1.81499480e-04  1.84200861e-03  5.43513273e-05  3.87600544e-05  
2.80000000e-06  2.93415008e-01  7.04064084e-01  2.16167085e-04  2.19384448e-03  6.47327912e-05  4.61634818e-05  
3.25000000e-06  2.93296180e-01  7.03778951e-01  2.50806609e-04  2.54539536e-03  7.51058466e-05  5.35609127e-05  
3.70000000e-06  2.93177449e-01  7.03494049e-01  2.85418089e-04  2.89666162e-03  8.54705035e-05  6.09523545e-05  
4.15000000e-06  2.93058813e-01  7.03209377e-01  3.20001557e-04  3.24764360e-03  9.58267723e-05  6.83378142e-05  
4.60000000e-06  2.92940274e-01  7.02924936e-01  3.54557048e-04  3.59834164e-03  1.06174663e-04  7.57172993e-05  
5.05000000e-06  2.92821830e-01  7.02640724e-01  3.89084596e-04  3.94875608e-03  1.16514186e-04  8.30908170e-05  
5.50000000e-06  2.92703482e-01  7.02356743e-01  4.23584234e-04  4.29888728e-03  1.26845351e-04  9.04583744e-05  
5.95000000e-06  2.92585230e-01  7.02072990e-01  4.58055996e-04  4.64873557e-03  1.37168169e-04  9.78199788e-05  
6.40000000e-06  2.92467073e-01  7.01789467e-01  4.92499916e-04  4.99830130e-03  1.47482649e-04  1.05175637e-04  
6.85000000e-06  2.92349012e-01  7.01506173e-01  5.26916028e-04  5.34758480e-03  1.57788802e-04  1.12525358e-04  
7.30000000e-06  2.92231046e-01  7.01223108e-01  5.61304365e-04  5.69658642e-03  1.68086637e-04  1.19869146e-04  
7.75000000e-06  2.92113175e-01  7.00940270e-01  5.95664961e-04  6.04530651e-03  1.78376165e-04  1.27207011e-04  
8.20000000e-06  2.91995399e-01  7.00657661e-01  6.29997850e-04  6.39374540e-03  1.88657396e-04  1.34538958e-04  
8.65000000e-06  2.91877718e-01  7.00375280e-01  6.64303065e-04  6.74190343e-03  1.98930340e-04  1.41864995e-04  
9.10000000e-06  2.91760132e-01  7.00093126e-01  6.98580639e-04  7.08978094e-03  2.09195007e-04  1.49185130e-04  
9.55000000e-06  2.91642641e-01  6.99811200e-01  7.32830607e-04  7.43737827e-03  2.19451406e-04  1.56499369e-04  
1.00000000e-05  2.91525244e-01  6.99529500e-01  7.67053000e-04  7.78469576e-03  2.29699548e-04  1.63807720e-04  
1.45000000e-05  2.90356453e-01  6.96724928e-01  1.10776766e-03  1.12425533e-02  3.31729010e-04  2.36568914e-04  
1.90000000e-05  2.89196997e-01  6.93942754e-01  1.44576124e-03  1.46727949e-02  4.32943621e-04  3.08749007e-04  
2.35000000e-05  2.88046764e-01  6.91182712e-01  1.78106620e-03  1.80757503e-02  5.33353107e-04  3.80354933e-04  
2.80000000e-05  2.86905644e-01  6.88444538e-01  2.11371449e-03  2.14517435e-02  6.32967036e-04  4.51393516e-04  
3.25000000e-05  2.85773530e-01  6.85727973e-01  2.44373756e-03  2.48010938e-02  7.31794823e-04  5.21871471e-04  
3.70000000e-05  2.84650315e-01  6.83032762e-01  2.77116637e-03  2.81241154e-02  8.29845739e-04  5.91795409e-04  
4.15000000e-05  2.83535895e-01  6.80358655e-01  3.09603140e-03  3.14211176e-02  9.27128913e-04  6.61171841e-04  
