t(s)            Temperature(K)  Pressure(Pa)    Density(kg/m3)  Mass(kg)        Volume(m3)      IntEnergy(J/kg) mdot_in(kg/s)   mdot_out(kg/s)  mdot_surf(kg/s) mdot(kg/s)      
1.00000000e-08  3.73150000e+02  1.01325155e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03080502e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.45000000e-08  3.73150000e+02  1.01325225e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03091066e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.90000000e-08  3.73150000e+02  1.01325295e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03101629e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
2.35000000e-08  3.73150000e+02  1.01325364e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03112193e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
2.80000000e-08  3.73150000e+02  1.01325434e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03122757e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
3.25000000e-08  3.73150000e+02  1.01325504e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03133320e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
3.70000000e-08  3.73150000e+02  1.01325574e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03143884e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
4.15000000e-08  3.73150000e+02  1.01325643e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03154447e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
4.60000000e-08  3.73150000e+02  1.01325713e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03165010e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5.05000000e-08  3.73150000e+02  1.01325783e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03175573e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5.50000000e-08  3.73150000e+02  1.01325853e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03186137e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5.95000000e-08  3.73150000e+02  1.01325922e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03196700e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
6.40000000e-08  3.73150000e+02  1.01325992e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03207263e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
6.85000000e-08  3.73150000e+02  1.01326062e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03217825e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
7.30000000e-08  3.73150000e+02  1.01326132e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03228388e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
7.75000000e-08  3.73150000e+02  1.01326202e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03238951e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
8.20000000e-08  3.73150000e+02  1.01326271e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03249513e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
8.65000000e-08  3.73150000e+02  1.01326341e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03260076e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
9.10000000e-08  3.73150000e+02  1.01326411e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03270638e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
9.55000000e-08  3.73150000e+02  1.01326481e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03281201e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.00000000e-07  3.73150000e+02  1.01326550e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03291763e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.45000000e-07  3.73150000e+02  1.01327248e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03397381e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.90000000e-07  3.73150000e+02  1.01327945e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03502990e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
2.35000000e-07  3.73150000e+02  1.01328643e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03608591e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
2.80000000e-07  3.73150000e+02  1.01329340e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03714183e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
3.25000000e-07  3.73150000e+02  1.01330038e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03819766e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
3.70000000e-07  3.73150000e+02  1.01330735e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.03925341e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
