# Transient Gas Mole fractions
t(s)            CH3CH2Br        TBAF            CH3CH2F         TBABr           C2H4            HF              
1.00000000e-08  4.99999974e-01  4.99999974e-01  2.32468976e-08  2.48832816e-08  1.63638391e-09  1.63638391e-09  
1.45000000e-08  4.99999963e-01  4.99999963e-01  3.37080004e-08  3.60807570e-08  2.37275658e-09  2.37275658e-09  
1.90000000e-08  4.99999951e-01  4.99999951e-01  4.41691027e-08  4.72782320e-08  3.10912923e-09  3.10912923e-09  
2.35000000e-08  4.99999940e-01  4.99999940e-01  5.46302046e-08  5.84757065e-08  3.84550184e-09  3.84550184e-09  
2.80000000e-08  4.99999928e-01  4.99999928e-01  6.50913061e-08  6.96731805e-08  4.58187442e-09  4.58187442e-09  
3.25000000e-08  4.99999916e-01  4.99999916e-01  7.55524071e-08  8.08706541e-08  5.31824698e-09  5.31824698e-09  
3.70000000e-08  4.99999905e-01  4.99999905e-01  8.60135077e-08  9.20681272e-08  6.05461950e-09  6.05461950e-09  
4.15000000e-08  4.99999893e-01  4.99999893e-01  9.64746079e-08  1.03265600e-07  6.79099199e-09  6.79099199e-09  
4.60000000e-08  4.99999882e-01  4.99999882e-01  1.06935708e-07  1.14463072e-07  7.52736445e-09  7.52736445e-09  
5.05000000e-08  4.99999870e-01  4.99999870e-01  1.17396807e-07  1.25660544e-07  8.26373689e-09  8.26373689e-09  
5.50000000e-08  4.99999859e-01  4.99999859e-01  1.27857906e-07  1.36858015e-07  9.00010929e-09  9.00010929e-09  
5.95000000e-08  4.99999847e-01  4.99999847e-01  1.38319004e-07  1.48055486e-07  9.73648166e-09  9.73648166e-09  
6.40000000e-08  4.99999836e-01  4.99999836e-01  1.48780102e-07  1.59252956e-07  1.04728540e-08  1.04728540e-08  
6.85000000e-08  4.99999824e-01  4.99999824e-01  1.59241200e-07  1.70450426e-07  1.12092263e-08  1.12092263e-08  
7.30000000e-08  4.99999812e-01  4.99999812e-01  1.69702297e-07  1.81647895e-07  1.19455986e-08  1.19455986e-08  
7.75000000e-08  4.99999801e-01  4.99999801e-01  1.80163392e-07  1.92845363e-07  1.26819707e-08  1.26819707e-08  
8.20000000e-08  4.99999789e-01  4.99999789e-01  1.90624488e-07  2.04042831e-07  1.34183429e-08  1.34183429e-08  
8.65000000e-08  4.99999778e-01  4.99999778e-01  2.01085583e-07  2.15240298e-07  1.41547150e-08  1.41547150e-08  
9.10000000e-08  4.99999766e-01  4.99999766e-01  2.11546677e-07  2.26437764e-07  1.48910871e-08  1.48910871e-08  
9.55000000e-08  4.99999755e-01  4.99999755e-01  2.22007771e-07  2.37635230e-07  1.56274592e-08  1.56274592e-08  
1.00000000e-07  4.99999743e-01  4.99999743e-01  2.32468864e-07  2.48832695e-07  1.63638312e-08  1.63638312e-08  
1.45000000e-07  4.99999627e-01  4.99999627e-01  3.37079773e-07  3.60807322e-07  2.37275495e-08  2.37275495e-08  
1.90000000e-07  4.99999512e-01  4.99999512e-01  4.41690635e-07  4.72781900e-07  3.10912646e-08  3.10912646e-08  
2.35000000e-07  4.99999396e-01  4.99999396e-01  5.46301450e-07  5.84756427e-07  3.84549764e-08  3.84549764e-08  
2.80000000e-07  4.99999280e-01  4.99999280e-01  6.50912219e-07  6.96730904e-07  4.58186850e-08  4.58186850e-08  
3.25000000e-07  4.99999165e-01  4.99999165e-01  7.55522938e-07  8.08705328e-07  5.31823900e-08  5.31823900e-08  
3.70000000e-07  4.99999049e-01  4.99999049e-01  8.60133606e-07  9.20679697e-07  6.05460914e-08  6.05460914e-08  
4.15000000e-07  4.99998933e-01  4.99998933e-01  9.64744226e-07  1.03265402e-06  6.79097895e-08  6.79097895e-08  
4.60000000e-07  4.99998818e-01  4.99998818e-01  1.06935480e-06  1.14462828e-06  7.52734841e-08  7.52734841e-08  
5.05000000e-07  4.99998702e-01  4.99998702e-01  1.17396532e-06  1.25660250e-06  8.26371754e-08  8.26371754e-08  
5.50000000e-07  4.99998586e-01  4.99998586e-01  1.27857580e-06  1.36857666e-06  9.00008634e-08  9.00008634e-08  
5.95000000e-07  4.99998471e-01  4.99998471e-01  1.38318623e-06  1.48055077e-06  9.73645479e-08  9.73645479e-08  
6.40000000e-07  4.99998355e-01  4.99998355e-01  1.48779661e-06  1.59252484e-06  1.04728229e-07  1.04728229e-07  
6.85000000e-07  4.99998239e-01  4.99998239e-01  1.59240694e-06  1.70449885e-06  1.12091907e-07  1.12091907e-07  
7.30000000e-07  4.99998124e-01  4.99998124e-01  1.69701722e-06  1.81647281e-06  1.19455581e-07  1.19455581e-07  
7.75000000e-07  4.99998008e-01  4.99998008e-01  1.80162746e-06  1.92844671e-06  1.26819253e-07  1.26819253e-07  
8.20000000e-07  4.99997892e-01  4.99997892e-01  1.90623765e-06  2.04042057e-06  1.34182920e-07  1.34182920e-07  
8.65000000e-07  4.99997777e-01  4.99997777e-01  2.01084779e-06  2.15239437e-06  1.41546585e-07  1.41546585e-07  
9.10000000e-07  4.99997661e-01  4.99997661e-01  2.11545788e-06  2.26436812e-06  1.48910245e-07  1.48910245e-07  
9.55000000e-07  4.99997546e-01  4.99997546e-01  2.22006792e-06  2.37634182e-06  1.56273903e-07  1.56273903e-07  
1.00000000e-06  4.99997430e-01  4.99997430e-01  2.32467791e-06  2.48831547e-06  1.63637556e-07  1.63637556e-07  
1.45000000e-06  4.99996273e-01  4.99996273e-01  3.37077519e-06  3.60804910e-06  2.37273909e-07  2.37273909e-07  
1.90000000e-06  4.99995117e-01  4.99995117e-01  4.41686764e-06  4.72777756e-06  3.10909922e-07  3.10909922e-07  
2.35000000e-06  4.99993960e-01  4.99993960e-01  5.46295524e-06  5.84750083e-06  3.84545593e-07  3.84545593e-07  
2.80000000e-06  4.99992804e-01  4.99992804e-01  6.50903801e-06  6.96721893e-06  4.58180924e-07  4.58180924e-07  
3.25000000e-06  4.99991647e-01  4.99991647e-01  7.55511594e-06  8.08693186e-06  5.31815915e-07  5.31815915e-07  
3.70000000e-06  4.99990491e-01  4.99990491e-01  8.60118904e-06  9.20663961e-06  6.05450566e-07  6.05450566e-07  
4.15000000e-06  4.99989334e-01  4.99989334e-01  9.64725729e-06  1.03263422e-05  6.79084875e-07  6.79084875e-07  
4.60000000e-06  4.99988178e-01  4.99988178e-01  1.06933207e-05  1.14460396e-05  7.52718844e-07  7.52718844e-07  
5.05000000e-06  4.99987021e-01  4.99987021e-01  1.17393793e-05  1.25657318e-05  8.26352472e-07  8.26352472e-07  
5.50000000e-06  4.99985865e-01  4.99985865e-01  1.27854330e-05  1.36854188e-05  8.99985760e-07  8.99985760e-07  
5.95000000e-06  4.99984708e-01  4.99984708e-01  1.38314819e-05  1.48051006e-05  9.73618707e-07  9.73618707e-07  
6.40000000e-06  4.99983552e-01  4.99983552e-01  1.48775260e-05  1.59247773e-05  1.04725131e-06  1.04725131e-06  
6.85000000e-06  4.99982395e-01  4.99982395e-01  1.59235652e-05  1.70444488e-05  1.12088358e-06  1.12088358e-06  
