# t(s)   CH3CH2Br    TBAF    CH3CH2F    TBABr    C2H4    HF  
0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.448275862068965469e-02 4.481428991897257186e-01 4.481428991897257186e-01 5.479706199489502438e-01 5.518571008102738373e-01 3.886480861323585688e-03 3.886480861323585688e-03
6.896551724137930939e-02 2.887784485255751599e-01 2.887784485255751599e-01 7.062127385769432220e-01 7.112215514744241185e-01 5.008812897481342355e-03 5.008812897481342355e-03
1.034482758620689641e-01 2.130246044423031726e-01 2.130246044423031726e-01 7.814330824336612746e-01 7.869753955576959115e-01 5.542313124035263931e-03 5.542313124035263931e-03
1.379310344827586188e-01 1.687557358698943688e-01 1.687557358698943688e-01 8.253901852661338356e-01 8.312442641301047708e-01 5.854078863971491110e-03 5.854078863971491110e-03
1.724137931034482873e-01 1.397203115485822211e-01 1.397203115485822211e-01 8.542211261259330390e-01 8.602796884514171127e-01 6.058562325484384212e-03 6.058562325484384212e-03
2.068965517241379282e-01 1.192095965020453091e-01 1.192095965020453091e-01 8.745873933936577638e-01 8.807904034979541219e-01 6.203010104296665175e-03 6.203010104296665175e-03
2.413793103448275690e-01 1.039499210636614518e-01 1.039499210636614518e-01 8.897396017565862847e-01 8.960500789363379237e-01 6.310477179752071834e-03 6.310477179752071834e-03
2.758620689655172376e-01 9.215360480791186248e-02 9.215360480791186248e-02 9.014528418131544374e-01 9.078463951920874297e-01 6.393553378933582165e-03 6.393553378933582165e-03
3.103448275862069061e-01 8.276174287602916513e-02 8.276174287602916513e-02 9.107785610327675530e-01 9.172382571239700022e-01 6.459696091203122326e-03 6.459696091203122326e-03
3.448275862068965747e-01 7.510717572338110326e-02 7.510717572338110326e-02 9.183792204562978290e-01 9.248928242766180086e-01 6.513603820320921188e-03 6.513603820320921188e-03
3.793103448275861878e-01 6.874866577505654719e-02 6.874866577505654719e-02 9.246929502214488172e-01 9.312513342249425508e-01 6.558384003494497662e-03 6.558384003494497662e-03
4.137931034482758563e-01 6.338274017294773244e-02 6.338274017294773244e-02 9.300210859638914362e-01 9.366172598270513516e-01 6.596173863160679531e-03 6.596173863160679531e-03
4.482758620689655249e-01 5.879380717144108703e-02 5.879380717144108703e-02 9.345777011138419743e-01 9.412061928285579970e-01 6.628491714716838908e-03 6.628491714716838908e-03
4.827586206896551380e-01 5.482449352114499019e-02 5.482449352114499019e-02 9.385190606119040435e-01 9.451755064788540661e-01 6.656445866950825782e-03 6.656445866950825782e-03
5.172413793103448620e-01 5.135724233785586568e-02 5.135724233785586568e-02 9.419618934421930545e-01 9.486427576621432323e-01 6.680864219950855172e-03 6.680864219950855172e-03
5.517241379310344751e-01 4.830246479741517190e-02 4.830246479741517190e-02 9.449951574952095701e-01 9.516975352025839330e-01 6.702377707374977851e-03 6.702377707374977851e-03
5.862068965517240882e-01 4.559068880849781458e-02 4.559068880849781458e-02 9.476878356016944505e-01 9.544093111915014083e-01 6.721475589807444397e-03 6.721475589807444397e-03
6.206896551724138122e-01 4.316721482415331046e-02 4.316721482415331046e-02 9.500942420843789815e-01 9.568327851758459124e-01 6.738543091467489449e-03 6.738543091467489449e-03
6.551724137931034253e-01 4.098838583860807405e-02 4.098838583860807405e-02 9.522577264924523277e-01 9.590116141613911349e-01 6.753887668939312881e-03 6.753887668939312881e-03
6.896551724137931494e-01 3.901893958891057557e-02 3.901893958891057557e-02 9.542133027526678024e-01 9.609810604110886612e-01 6.767757658421453756e-03 6.767757658421453756e-03
7.241379310344827624e-01 3.723007741651702951e-02 3.723007741651702951e-02 9.559895667076193648e-01 9.627699225834821517e-01 6.780355875863445202e-03 6.780355875863445202e-03
7.586206896551723755e-01 3.559805077591644135e-02 3.559805077591644135e-02 9.576100996525355180e-01 9.644019492240828439e-01 6.791849571547857629e-03 6.791849571547857629e-03
7.931034482758620996e-01 3.410310028021192735e-02 3.410310028021192735e-02 9.590945218178742460e-01 9.658968997197873163e-01 6.802377901913583824e-03 6.802377901913583824e-03
8.275862068965517127e-01 3.272865198572032924e-02 3.272865198572032924e-02 9.604592904245186080e-01 9.672713480142789422e-01 6.812057589760762630e-03 6.812057589760762630e-03
8.620689655172413257e-01 3.146069846488915717e-02 3.146069846488915717e-02 9.617183142520355776e-01 9.685393015351101420e-01 6.820987283074940802e-03 6.820987283074940802e-03
8.965517241379310498e-01 3.028732718460033085e-02 3.028732718460033085e-02 9.628834219389534876e-01 9.697126728153989683e-01 6.829250876445858848e-03 6.829250876445858848e-03
9.310344827586206629e-01 2.919833529666172531e-02 2.919833529666172531e-02 9.639647444794138265e-01 9.708016647033376190e-01 6.836920223924178482e-03 6.836920223924178482e-03
9.655172413793102759e-01 2.818493661156184354e-02 2.818493661156184354e-02 9.649710061857648125e-01 9.718150633884375944e-01 6.844057202673083790e-03 6.844057202673083790e-03
1.000000000000000000e+00 2.723952410924024986e-02 2.723952410924024986e-02 9.659097605052617830e-01 9.727604758907592020e-01 6.850715385497735573e-03 6.850715385497735573e-03
