# t(s)   slab-O_fcc    slab-OH_fcc    slab-H2O    H2O  
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.001001001001000992e-03 6.689134058602440591e-01 1.331288735981317195e-01 1.100111694192392146e-05 1.979467194246821160e-01
2.002002002002001985e-03 5.407561769630305770e-01 1.076417669898846602e-01 1.953958937146085936e-05 3.515825164577132123e-01
3.003003003003002977e-03 4.416386030955966047e-01 8.792988499697346194e-02 2.614329545240759233e-05 4.704053686119775146e-01
4.004004004004003969e-03 3.649804748057247084e-01 7.268459680440214621e-02 3.125064148787339398e-05 5.623036777483851889e-01
5.005005005005004962e-03 3.056926134867661848e-01 6.089379846001032048e-02 3.520069388562274253e-05 6.333783873593378244e-01
6.006006006006005954e-03 2.598390143173718858e-01 5.177472198897056094e-02 3.825568887642131187e-05 6.883480080047811311e-01
7.007007007007006946e-03 2.243755574808565800e-01 4.472197191759082202e-02 4.061844087308340490e-05 7.308618521606795593e-01
8.008008008008007939e-03 1.969478988055272106e-01 3.926733103185195417e-02 4.244580800179976337e-05 7.637423243546191953e-01
9.009009009009008931e-03 1.757351795921206217e-01 3.504867835996488407e-02 4.385910493183741755e-05 7.891722829429829167e-01
1.001001001001000992e-02 1.593291347231264032e-01 3.178594698270048591e-02 4.495215729245257411e-05 8.088399661368809168e-01
1.101101101101101092e-02 1.466405962780838457e-01 2.926252971223537030e-02 4.579753089546404680e-05 8.240510764787855047e-01
1.201201201201201191e-02 1.368271981718741925e-01 2.731090569668975093e-02 4.645134805797546644e-05 8.358154447833783252e-01
1.301301301301301290e-02 1.292374610122685730e-01 2.580150055323798472e-02 4.695701462146269591e-05 8.449140814198723426e-01
1.401401401401401389e-02 1.233675027073721370e-01 2.463412500514126913e-02 4.734810000790496028e-05 8.519510241874789225e-01
1.501501501501501488e-02 1.188276462287028712e-01 2.373126538244813705e-02 4.765056802362389112e-05 8.573934378208256657e-01
1.601601601601601588e-02 1.153164942258216308e-01 2.303298883901037930e-02 4.788449845595509779e-05 8.616026324367123124e-01
1.701701701701701513e-02 1.126009467132311481e-01 2.249293773418498121e-02 4.806542174685176499e-05 8.648580501308373858e-01
1.801801801801801786e-02 1.105007304042824878e-01 2.207525982366488268e-02 4.820534861303071931e-05 8.673758044234400888e-01
1.901901901901902059e-02 1.088764076423007487e-01 2.175222517157031354e-02 4.831356905302193781e-05 8.693230536170764022e-01
2.002002002002001985e-02 1.076201462649178098e-01 2.150238543583378112e-02 4.839726756874051773e-05 8.708290710316800576e-01
2.102102102102101910e-02 1.066485458467420072e-01 2.130915669539096627e-02 4.846200058752158599e-05 8.719938354572799311e-01
2.202202202202202183e-02 1.058970935010620368e-01 2.115972195234749539e-02 4.851206556091767602e-05 8.728946724810299207e-01
2.302302302302302456e-02 1.053159239415070031e-01 2.104413880140514406e-02 4.855078618012616183e-05 8.735913864709080601e-01
2.402402402402402382e-02 1.048664447458214910e-01 2.095474451212882630e-02 4.858073298147769085e-05 8.741302300090686428e-01
2.502502502502502307e-02 1.045188083745888091e-01 2.088561225200911281e-02 4.860389405316133365e-05 8.745469754793494532e-01
2.602602602602602580e-02 1.042499457281905462e-01 2.083214303497735870e-02 4.862180699293897925e-05 8.748692894298396583e-01
2.702702702702702853e-02 1.040420072726212786e-01 2.079078938978565563e-02 4.863566089599529016e-05 8.751185676766976007e-01
2.802802802802802778e-02 1.038811889165411756e-01 2.075880694981555030e-02 4.864637540932930933e-05 8.753113577582344318e-01
2.902902902902902704e-02 1.037568113025381655e-01 2.073407150773573862e-02 4.865466206509217427e-05 8.754604625276615204e-01
3.003003003003002977e-02 1.036606145193077894e-01 2.071494049571945620e-02 4.866107117348418033e-05 8.755757839137997545e-01
3.103103103103103250e-02 1.035862161129066927e-01 2.070014460674108117e-02 4.866602796560713640e-05 8.756649732523871243e-01
3.203203203203203175e-02 1.035286777503785088e-01 2.068870173746671648e-02 4.866986145770410538e-05 8.757339506506975901e-01
3.303303303303303101e-02 1.034841768147585911e-01 2.067985167287279477e-02 4.867282633137102245e-05 8.757872986860377740e-01
3.403403403403403027e-02 1.034497583121979508e-01 2.067300672624928365e-02 4.867511946389726797e-05 8.758285598420895157e-01
3.503503503503503647e-02 1.034231376492725507e-01 2.066771260296244861e-02 4.867689306343305291e-05 8.758604728547021434e-01
3.603603603603603572e-02 1.034025497607798383e-01 2.066361811973228477e-02 4.867826473619852955e-05 8.758851538547521853e-01
3.703703703703703498e-02 1.033866276188490502e-01 2.066045174830844974e-02 4.867932554162479115e-05 8.759042413073014899e-01
3.803803803803804118e-02 1.033743129544773542e-01 2.065800260693545498e-02 4.868014601019598038e-05 8.759190042925776298e-01
3.903903903903904044e-02 1.033647873658757044e-01 2.065610825333488720e-02 4.868078065032940832e-05 8.759304236001396182e-01
4.004004004004003969e-02 1.033574194578889549e-01 2.065464296164408811e-02 4.868127153749212749e-05 8.759392563089298811e-01
4.104104104104103895e-02 1.033517209165261824e-01 2.065350967100565080e-02 4.868165120270394699e-05 8.759460877612660346e-01
